age,weight,height,arm_span,wins_count,wins_knockouts_count,wins_submissions_count,wins_judges_decisions_count,defeats_count,defeats_knockouts_count,defeats_submissions_count,defeats_judges_decisions_count
37,93,183,183,12,3,4,5,5,4,1,0
26,77,191,200,2,1,0,1,0,0,0,0
28,66,170,0,9,4,2,3,2,2,0,0
30,57,163,0,18,3,9,6,2,1,0,1
32,77,186,185,12,5,7,0,13,2,3,8
32,61,170,178,21,8,6,7,6,2,0,4
40,70,172,180,37,7,20,10,17,2,3,12
29,70,175,178,11,6,2,3,2,0,0,2
23,61,175,0,9,6,1,2,0,0,0,0
35,61,172,0,13,6,1,6,2,1,0,1
30,56,170,175,11,0,10,1,8,4,1,3
32,66,173,178,8,5,0,3,2,0,2,0
28,70,175,173,7,4,2,1,1,0,0,1
27,66,173,0,10,3,2,5,3,1,1,1
29,70,178,175,9,6,2,1,1,0,1,0
41,77,180,188,30,22,1,7,16,4,5,7
50,116,211,0,26,15,9,2,14,2,6,6
36,70,173,0,25,4,10,11,6,2,1,3
27,70,177,0,25,7,8,10,4,1,0,3
48,119,204,203,31,22,2,7,10,3,4,3
30,66,173,0,17,2,3,12,4,2,1,1
38,93,188,198,17,9,4,4,5,4,0,1
33,73,175,0,25,9,3,13,11,9,0,2
26,93,191,196,11,7,1,3,0,0,0,0
25,66,175,0,10,5,3,2,0,0,0,0
36,61,163,165,27,5,10,12,2,0,0,2
31,84,185,191,15,4,4,7,1,0,0,1
37,77,191,203,15,8,0,7,7,2,2,3
29,61,173,171,14,3,2,9,9,0,1,8
38,70,172,178,19,2,12,5,4,2,1,1
34,70,170,0,14,7,4,3,8,6,2,0
32,84,183,0,22,6,3,13,6,1,0,5
29,77,177,194,20,17,1,2,4,2,0,2
37,77,180,185,24,14,3,7,7,1,2,4
30,56,165,170,17,9,8,0,4,1,2,1
39,77,172,178,21,13,1,7,5,1,0,4
34,83,180,185,10,1,9,0,2,0,1,1
34,61,167,170,19,8,3,8,5,1,3,1
32,70,172,0,17,9,0,9,5,0,0,5
31,77,175,196,19,3,8,8,8,1,4,3
45,177,201,0,12,10,1,1,11,8,2,1
30,66,173,0,21,9,2,10,7,1,1,5
26,77,180,0,21,3,12,6,6,1,2,3
32,70,178,0,11,1,1,9,8,0,4,4
33,62,173,0,21,10,3,8,4,0,1,3
46,93,178,187,16,13,0,3,7,1,0,6
39,93,183,0,12,4,6,2,3,1,1,1
54,97,180,0,28,9,6,13,21,10,2,9
44,120,193,208,19,15,2,2,14,12,0,2
47,93,188,191,23,8,6,9,10,4,0,6
33,77,190,0,10,5,2,3,1,0,0,1
0,77,180,0,17,9,3,5,2,1,0,1
0,77,178,0,17,9,0,8,8,3,2,3
31,77,185,182,13,8,3,2,2,0,0,2
35,70,175,180,14,10,4,0,3,0,2,1
30,63,172,174,22,6,4,12,5,0,0,5
31,118,182,0,10,5,3,2,5,2,1,2
0,56,164,0,13,5,3,5,4,2,1,1
31,57,168,0,22,4,6,13,14,0,2,12
44,118,191,200,19,6,9,4,13,10,0,3
32,70,178,0,25,8,5,12,4,1,2,1
40,70,183,185,36,10,17,9,17,8,2,7
46,93,185,188,31,8,4,19,17,7,9,1
32,93,186,189,1,1,0,0,1,1,0,0
47,109,191,196,34,3,21,10,10,3,2,5
36,84,183,185,13,4,6,3,4,3,0,1
32,93,185,189,17,8,2,7,5,0,2,3
41,109,185,196,14,12,0,2,3,2,1,0
27,61,170,173,18,10,7,1,6,0,1,5
32,119,198,206,10,6,1,3,6,1,2,3
37,0,0,0,0,0,0,0,0,0,0,0
33,93,193,201,16,3,11,2,2,1,0,0
30,70,175,0,12,5,0,7,2,0,0,2
37,93,185,188,17,15,0,2,8,2,3,3
0,77,178,0,14,5,0,8,3,2,2,0
37,93,180,179,21,5,15,1,10,7,3,0
32,113,196,0,15,10,1,4,1,0,0,1
28,57,173,0,17,5,7,5,1,0,0,1
